Filename_corr,RA_corr,dec_corr,Rearcsec,AR,n,mu_0_g,mu_0_z,mag_g,tau,WISE,classALL
SMDG2158443+004431,-30.31527,0.74183,5.8,0.588,0.888,23.617,22.872,19.319,0.04859,0.05923,3
SMDG2129523-004125,-37.53188,-0.69028,8.09,0.683,1.126,23.153,22.24,18.372,0.03247,0.07559,3
SMDG2144558+012533,-33.76755,1.42597,7.35,0.649,1.084,22.904,22.028,18.314,0.04907,0.06025,3
SMDG2124362-020325,-38.84899,-2.05707,5.11,0.529,0.751,23.512,22.856,19.385,0.03937,0.05724,3
SMDG2129521-003252,-37.53292,-0.5477,7.8,0.565,1.08,23.303,22.056,18.728,0.03976,0.06102,3
SMDG2222126+015843,-24.44739,1.97853,5.44,0.564,1.009,23.121,22.22,19.209,0.04866,0.08939,3
SMDG2139363+005319,-35.09861,0.88867,6.78,0.94,1.325,22.614,21.948,18.222,0.04476,0.07104,3
SMDG2105543-015220,-43.52375,-1.8721,7.42,0.724,1.278,22.959,22.218,18.571,0.04368,0.09396,3
SMDG2202139+011215,-29.4419,1.20428,5.24,0.788,0.849,23.839,22.986,19.38,0.04005,0.05473,3
SMDG2146448-005213,-33.3135,-0.87034,6.31,0.732,0.883,23.271,22.631,18.544,0.04726,0.09933,3
SMDG2201429+002248,-29.57146,0.38001,5.1,0.558,0.728,23.171,22.61,18.954,0.04658,0.0738,3
SMDG2126169-000923,-38.42964,-0.15635,7.39,0.967,1.021,23.043,22.24,17.901,0.04275,0.06776,3
SMDG2209073+013821,-27.71977,1.63921,6.55,0.672,1.068,23.377,22.69,18.972,0.03831,0.08265,3
SMDG2206238+025710,-28.40098,2.95272,7.65,0.752,1.04,23.994,23.298,19.082,0.04672,0.07324,3
SMDG2129244-003635,-37.64816,-0.60974,8.33,0.507,1.733,22.772,22.092,19.355,0.03927,0.06976,3
SMDG2332333-023349,-6.86133,-2.56355,5.63,0.595,0.944,23.864,23.132,19.71,0.04203,0.06829,3
SMDG0006595+005846,1.74776,0.97957,5.45,0.786,0.967,23.516,22.844,19.169,0.02948,0.06454,3
SMDG2346578-021712,-3.25901,-2.28665,8.29,0.715,1.95,22.523,21.827,19.155,0.03981,0.06997,3
SMDG0015567-020606,3.98618,-2.10157,7.0,0.652,0.732,23.366,22.593,18.299,0.03129,0.09864,3
SMDG2320412+004934,-9.82838,0.82609,43.21,0.874,2.512,21.739,20.741,15.658,0.04906,0.07256,3
SMDG0003434-015330,0.93087,-1.89171,4.92,0.661,0.821,23.17,22.528,18.994,0.04342,0.0638,3
SMDG2358356-003118,-0.35186,-0.52178,5.31,0.735,0.885,23.252,22.443,18.898,0.04117,0.07218,3
SMDG2345187-025440,-3.6722,-2.91106,5.79,0.567,1.104,23.103,22.396,19.213,0.04043,0.06075,3
SMDG2313415-015412,-11.57697,-1.90344,7.42,0.768,0.661,23.652,23.142,18.173,0.03779,0.04856,3
SMDG2344005+002643,-3.99782,0.44524,5.72,0.642,1.033,23.322,22.383,19.201,0.03078,-0.00846,3
SMDG0020397-002755,5.16545,-0.46516,6.21,0.699,1.287,23.455,22.589,19.508,0.02529,0.01746,3
SMDG2305318-001402,-13.61732,-0.23379,5.56,0.89,0.775,23.691,22.867,18.853,0.04914,0.0701,3
SMDG2322018-005229,-9.49248,-0.87468,13.61,0.5,1.62,22.347,21.728,17.668,0.04933,0.08219,3
SMDG2309539-025309,-12.52538,-2.88581,18.5,0.557,3.386,20.642,19.814,18.634,0.04996,0.0568,3
SMDG0001389+025001,0.41195,2.83359,6.75,0.611,0.732,23.277,22.745,18.359,0.03096,0.0333,3
SMDG0019357+004323,4.89892,0.72309,8.45,0.607,1.003,23.838,23.191,18.88,0.0274,0.03584,3
SMDG2307095-004013,-13.21053,-0.67014,7.74,0.843,1.374,23.076,22.351,18.603,0.04429,0.07217,3
SMDG2313301-020247,-11.62447,-2.04645,5.98,0.702,1.03,23.209,22.299,18.89,0.03149,0.05103,3
SMDG2304211+010327,-13.91196,1.05741,15.55,0.43,1.304,23.162,22.27,17.779,0.04297,0.06984,3
SMDG2356532-013335,-0.77823,-1.55964,7.97,0.947,0.887,23.431,22.656,17.924,0.02677,0.0317,3
SMDG2340409-022956,-4.82976,-2.499,5.77,0.531,0.875,23.525,22.632,19.328,0.03411,0.06654,3
SMDG2337158-000423,-5.68408,-0.07303,5.6,0.753,0.968,23.203,22.542,18.845,0.04578,0.07347,3
SMDG2331153+020014,-7.18636,2.00387,55.35,0.832,2.218,22.091,21.209,14.951,0.04459,0.06301,3
SMDG0018431+003017,4.67947,0.50476,7.75,0.566,0.867,23.242,22.565,18.322,0.03354,0.02221,3
SMDG2316088-023644,-10.96342,-2.61221,7.99,0.699,1.716,23.396,22.46,19.689,0.03991,0.04259,3
SMDG2306364+002305,-13.34824,0.38459,13.36,0.852,1.494,22.965,22.224,17.514,0.04455,0.06183,3
SMDG2343553+000431,-4.01958,0.0753,13.66,0.584,1.271,22.75,21.991,17.257,0.03399,0.05995,3
SMDG2318043-012236,-10.48196,-1.37662,5.68,0.844,0.999,23.562,22.67,19.102,0.04909,0.07281,3
SMDG2315034-020612,-11.23575,-2.10326,4.81,0.522,0.858,23.208,22.189,19.397,0.03668,0.04782,3
SMDG2347505+001957,-3.03978,0.33247,6.17,0.818,1.349,22.872,22.13,18.879,0.03149,0.07489,3
SMDG2316495-021338,-10.79367,-2.22728,8.6,0.631,0.917,23.188,22.599,18.006,0.03655,0.04951,3
SMDG0001080+015629,0.28345,1.94126,5.62,0.583,1.036,23.008,22.431,19.035,0.03256,0.04338,3
SMDG2301126+003030,-14.69762,0.50846,9.04,0.539,1.432,23.083,22.229,18.864,0.04344,0.08736,3
SMDG0008216-022309,2.08997,-2.3857,35.63,0.851,1.942,22.496,21.765,15.757,0.02577,0.07961,3
SMDG2352445-020709,-1.81448,-2.11923,4.41,0.861,0.455,23.817,22.956,19.059,0.03035,0.07007,3
SMDG2356270-024523,-0.88742,-2.75651,5.07,0.877,0.933,23.443,22.598,19.077,0.04296,0.05983,3
SMDG2315455-021650,-11.06052,-2.2805,4.66,0.497,0.76,23.284,22.156,19.438,0.04135,0.05003,3
SMDG2350450-005446,-2.31233,-0.91289,5.1,0.369,0.914,23.109,22.554,19.639,0.04092,0.07376,3
SMDG2337497-003517,-5.54285,-0.58814,5.93,0.714,1.01,23.008,22.103,18.654,0.04975,0.06194,3
SMDG2341228-013604,-4.65513,-1.60101,7.17,0.714,1.207,23.093,22.072,18.668,0.03844,0.06753,3
SMDG2310265-004141,-12.38939,-0.69483,5.8,0.677,0.726,23.787,23.131,19.078,0.03751,0.0512,3
SMDG2302324+005238,-14.36487,0.87727,6.18,0.818,1.046,22.875,22.183,18.345,0.03448,0.05223,3
SMDG2315511-011151,-11.03702,-1.19755,6.63,0.626,1.335,22.828,22.24,18.944,0.03357,0.06081,3
SMDG2310212-013300,-12.41168,-1.55013,4.79,0.669,0.735,23.891,23.18,19.624,0.03494,0.04522,3
SMDG2233427-004026,-21.57208,-0.6738,5.8,0.734,0.786,23.364,22.61,18.661,0.04812,0.08724,3
SMDG2259558+004118,-15.01748,0.68825,8.43,0.883,0.747,23.673,22.73,17.896,0.04184,0.06847,3
SMDG0017256+005643,4.35681,0.94517,6.46,0.585,0.728,23.345,22.532,18.564,0.03482,0.02494,3
SMDG2358191+005347,-0.42031,0.89627,6.31,0.738,1.132,22.959,22.332,18.644,0.04182,0.07309,3
SMDG0019151+005455,4.81284,0.91541,5.77,0.781,1.147,23.138,21.979,18.982,0.0279,0.04571,3
SMDG2351058-005319,-2.22577,-0.88851,6.17,0.436,0.848,23.973,23.472,19.8,0.03869,0.05921,3
SMDG2316415-010427,-10.82728,-1.07426,18.9,0.888,1.855,22.405,21.477,16.831,0.04263,0.06131,3
SMDG2318236+003635,-10.40179,0.60972,6.61,0.535,1.253,23.261,22.597,19.408,0.04908,0.09798,3
SMDG0014330-025229,3.63751,-2.8746,5.41,0.603,0.94,23.872,23.182,19.784,0.03188,0.04785,3
SMDG2347057-010338,-3.22606,-1.06059,7.98,0.419,0.988,23.617,22.978,19.16,0.03436,0.06055,3
SMDG0010141+023221,2.55857,2.53912,6.49,0.615,1.151,23.398,22.698,19.253,0.02521,0.04285,3
SMDG2359328-005251,-0.1135,-0.88074,6.75,0.723,1.185,23.428,22.681,19.082,0.03618,0.0693,3
SMDG0023407-013046,5.91942,-1.51288,7.47,0.79,0.887,23.458,22.453,18.288,0.0261,0.0378,3
SMDG2313383-015252,-11.59024,-1.88113,5.9,0.683,1.198,23.759,22.606,19.79,0.03594,0.04043,3
SMDG2346170-015256,-3.42923,-1.88234,6.01,0.6,1.246,22.766,22.296,18.982,0.03907,0.04508,3
SMDG0016050+015158,4.02078,1.86625,5.5,0.421,1.074,22.822,22.016,19.315,0.0314,0.0679,3
SMDG2347550-011217,-3.02091,-1.20486,24.97,0.675,2.716,21.934,21.184,17.726,0.03269,0.06452,3
SMDG2321255+015217,-9.64374,1.87141,21.16,0.822,1.555,23.354,22.452,17.056,0.04605,0.06619,3
SMDG0004341+030056,1.14201,3.01546,5.29,0.909,0.777,23.375,22.347,18.625,0.01899,0.02711,3
SMDG2321597-023201,-9.50112,-2.53362,6.73,0.405,0.915,23.65,23.046,19.478,0.04127,0.06109,3
SMDG0012212+015308,3.08838,1.8856,5.1,0.469,0.876,23.516,22.934,19.723,0.0275,0.06935,3
SMDG2326465+021743,-8.30633,2.29541,6.11,0.706,1.136,23.208,22.341,19.018,0.03718,0.04233,3
SMDG2359104+013316,-0.20655,1.55458,8.18,0.744,0.78,23.858,23.339,18.384,0.02715,0.03118,3
SMDG0125000-020817,21.24963,-2.138,6.7,0.787,1.169,23.055,22.447,18.605,0.0316,0.0639,3
SMDG0129086-005351,22.28585,-0.89746,12.46,0.427,0.856,23.554,22.472,17.891,0.01272,0.03677,3
SMDG0042162-023803,10.5673,-2.63413,5.09,0.573,0.664,23.987,23.406,19.649,0.0135,0.02031,3
SMDG0101330+010313,15.38734,1.05351,5.49,0.787,1.046,23.833,23.158,19.602,0.02274,0.05608,3
SMDG0106425-025704,16.67724,-2.95114,5.73,0.61,0.912,23.252,22.565,18.98,0.02418,0.03529,3
SMDG0029529-005832,7.47032,-0.97557,6.81,0.996,1.173,23.491,22.847,18.757,0.02377,0.02491,3
SMDG0039348-020130,9.89518,-2.02513,11.12,0.855,1.478,22.805,22.048,17.72,0.0127,0.02523,3
SMDG0126312-012610,21.63012,-1.43612,8.39,0.571,1.075,23.617,22.516,18.864,0.02158,0.0674,3
SMDG0109116+002553,17.29849,0.43132,5.37,0.639,0.963,23.716,23.043,19.619,0.01536,0.04085,3
SMDG0059019-005026,14.75776,-0.84054,5.8,0.539,0.786,23.327,22.397,18.959,0.02572,0.05653,3
SMDG0107240-004049,16.84986,-0.68023,5.52,0.672,0.822,23.741,22.775,19.298,0.04,0.07718,3
SMDG0136114+005400,24.04767,0.90009,5.82,0.677,0.919,23.617,22.857,19.209,0.02332,0.06426,3
SMDG0122155+003720,20.56464,0.62227,6.2,0.496,0.401,23.979,23.375,19.014,0.03063,0.04721,3
SMDG0100375+012142,15.15618,1.36168,9.0,0.641,1.668,23.872,22.741,19.911,0.01837,0.05134,3
SMDG0124244-011331,21.10161,-1.22524,6.69,0.608,1.363,23.873,22.764,20.052,0.02845,0.07984,3
SMDG0124541+020541,21.22551,2.09467,5.43,0.862,0.855,23.428,22.786,18.804,0.02967,0.04402,3
SMDG0131324-010437,22.88505,-1.07705,8.57,0.423,0.736,23.702,22.732,18.671,0.023,0.03588,3
SMDG0039465+012808,9.94391,1.46895,6.4,0.871,0.953,23.361,22.66,18.53,0.01119,0.02907,3
SMDG0047073-012204,11.7805,-1.36773,4.6,0.48,0.796,23.101,22.141,19.378,0.02018,0.04191,3
SMDG0039136+023211,9.80681,2.53647,6.29,0.847,1.357,22.91,21.919,18.852,0.02518,0.00854,3
SMDG0126582-013344,21.74239,-1.56229,7.82,0.515,0.953,23.933,22.864,19.237,0.02674,0.07301,3
SMDG0120348-003109,20.14513,-0.51917,6.1,0.769,1.102,23.252,22.199,18.914,0.03487,0.04559,3
SMDG0128501-024101,22.2086,-2.6837,5.67,0.676,0.983,23.062,22.395,18.819,0.02103,0.04327,3
SMDG0120234+000148,20.09769,0.03005,9.54,0.411,0.557,23.868,23.355,18.372,0.02817,0.04497,3
SMDG0049383+001417,12.40943,0.23818,5.24,0.835,0.648,23.416,22.684,18.582,0.02068,-0.07466,3
SMDG0119552-005351,19.97981,-0.89742,6.08,0.463,0.881,23.229,22.524,19.076,0.0224,0.03341,3
SMDG0038442+003717,9.68424,0.6213,9.41,0.74,1.477,23.078,22.354,18.51,0.02323,0.04231,3
SMDG0117068+004131,19.27847,0.69207,5.07,0.743,0.689,23.297,22.731,18.723,0.01867,0.02663,3
SMDG0126478-011244,21.69912,-1.21215,11.56,0.632,1.045,23.544,22.434,17.933,0.03277,0.04769,3
SMDG0119327+020545,19.88608,2.09571,6.66,0.652,0.79,23.279,22.412,18.41,0.02831,0.03159,3
SMDG0038238+010620,9.59926,1.10568,6.34,0.547,0.778,23.48,22.925,18.89,0.01599,0.01784,3
SMDG0040461-023827,10.1919,-2.64078,9.74,0.638,1.392,23.266,22.684,18.629,0.02237,0.03611,3
SMDG0119208-012815,19.83662,-1.4708,4.65,0.389,0.642,23.577,22.695,19.823,0.02684,0.09993,3
SMDG0023571-024341,5.98791,-2.72795,10.62,0.641,0.751,23.51,22.677,17.585,0.02933,0.06742,3
SMDG0059036+005901,14.76498,0.98373,12.92,0.361,0.874,23.738,23.396,18.207,0.02101,0.06515,3
SMDG0125186+003655,21.32742,0.61522,7.85,0.727,1.279,23.561,22.687,19.048,0.02242,0.05192,3
SMDG0125388+015735,21.41169,1.9597,7.89,0.597,1.718,23.597,22.514,20.092,0.02733,0.04238,3
SMDG0113394+005228,18.4143,0.87447,21.52,0.591,1.034,23.058,22.864,16.152,0.02251,0.03226,3
SMDG0032572+012741,8.2382,1.46152,5.01,0.546,0.887,23.794,23.325,19.893,0.01741,0.04611,3
SMDG0027127-014831,6.80309,-1.80869,11.7,0.572,2.083,23.472,22.071,19.853,0.0192,0.04676,3
SMDG0039278+023447,9.86596,2.57959,5.67,0.439,0.812,23.939,22.884,19.884,0.02868,-0.01016,3
SMDG0130296+015909,22.62326,1.98574,6.55,0.558,0.82,23.473,23.398,18.857,0.01891,0.0236,3
SMDG0022409-011729,5.67022,-1.29147,8.38,0.765,0.922,23.717,23.244,18.39,0.03019,0.04066,3
SMDG0130432-021353,22.68008,-2.2314,24.14,0.698,1.639,22.428,21.854,16.178,0.01999,0.04831,3
SMDG0104023-014028,16.0094,-1.67433,6.19,0.463,0.851,23.52,22.844,19.28,0.03176,0.0592,3
SMDG0108329+004221,17.13715,0.70576,4.94,0.712,0.749,23.925,22.98,19.545,0.02166,0.03949,3
SMDG0039527+002255,9.96972,0.38202,12.8,0.734,1.15,23.576,22.765,17.763,0.01046,0.04531,3
SMDG0112468-002628,18.1948,-0.44109,14.21,0.456,1.383,23.807,22.621,18.699,0.01657,0.02774,3
SMDG0039047+025600,9.76964,2.93345,8.21,0.866,1.234,22.768,21.999,17.887,0.02274,-0.00121,3
SMDG0129494+022140,22.45564,2.36098,9.02,0.608,1.103,23.402,22.433,18.471,0.025,0.0418,3
SMDG0101134-003742,15.30587,-0.62825,5.44,0.675,1.105,22.946,22.096,19.003,0.01965,0.02239,3
SMDG0023289-003434,5.87045,-0.57604,5.11,0.84,0.896,23.262,22.459,18.865,0.02896,0.03185,3
SMDG0125027+014549,21.26136,1.76353,7.22,0.518,1.405,22.748,21.851,19.011,0.02687,0.05484,3
SMDG0106567-004522,16.73605,-0.75618,7.39,0.898,0.705,23.445,22.646,17.871,0.03631,0.06472,3
SMDG0045559+012127,11.48281,1.35753,5.86,0.616,0.991,23.648,23.063,19.448,0.02575,0.00415,3
SMDG0037265-020656,9.36044,-2.11557,9.9,0.682,0.934,23.307,22.531,17.763,0.01657,0.03147,3
SMDG0121590+002341,20.49567,0.39478,5.92,0.598,0.837,23.275,22.518,18.831,0.03343,0.03947,3
SMDG0121451+000806,20.43808,0.13508,4.79,0.661,0.702,23.394,22.888,19.09,0.02772,0.02832,3
SMDG0115274+001927,18.86434,0.32404,4.44,0.821,0.642,23.319,22.624,18.854,0.02157,0.03418,3
SMDG0126397+015208,21.66556,1.86895,5.87,0.978,1.31,22.651,21.5,18.502,0.02672,0.04568,3
SMDG0032157+023906,8.06523,2.6517,6.58,0.682,1.294,23.101,22.752,19.067,0.02103,0.05988,3
SMDG0121342+001124,20.39236,0.19007,6.39,0.707,0.999,23.307,22.418,18.783,0.02478,0.04645,3
SMDG0106469+001436,16.69545,0.24333,8.78,0.596,0.853,23.269,22.738,17.999,0.02642,0.04398,3
SMDG0119555+024711,19.98114,2.78627,11.46,0.628,1.157,22.767,21.875,17.375,0.01979,0.02222,3
SMDG0113540+020730,18.47494,2.12502,5.86,0.714,1.287,23.245,22.544,19.4,0.03432,0.06933,3
SMDG0055213-014720,13.83855,-1.7888,6.59,0.469,0.941,23.023,22.352,18.781,0.03769,0.04373,3
SMDG0056068-013801,14.02849,-1.63363,12.29,0.715,1.202,22.812,22.003,17.207,0.02867,0.03865,3
SMDG0035529+013058,8.97042,1.51599,6.39,0.696,0.935,23.4,22.596,18.786,0.01627,0.01888,3
SMDG0126561+020833,21.73363,2.14249,6.05,0.724,1.117,23.319,22.611,19.09,0.02118,0.04361,3
SMDG0121555-004903,20.48143,-0.81742,5.84,0.692,1.296,22.687,21.989,18.9,0.03621,0.06782,3
SMDG0054101-021954,13.54203,-2.33169,5.33,0.539,0.787,23.383,22.948,19.2,0.03106,0.03537,3
SMDG0119017+014400,19.75692,1.73342,5.92,0.571,0.738,23.361,22.919,18.811,0.03683,0.04391,3
SMDG0022213+003146,5.58885,0.52939,5.32,0.759,0.944,23.807,22.979,19.512,0.03171,-0.00917,3
SMDG0032162+024409,8.06767,2.73576,5.83,0.747,1.08,23.609,22.827,19.363,0.02078,0.04952,3
SMDG0126268-012426,21.61163,-1.40723,8.16,0.636,0.833,23.497,22.401,18.283,0.02489,0.06172,3
SMDG0125276-014925,21.36497,-1.82361,5.43,0.486,1.071,22.905,21.764,19.264,0.02842,0.04448,3
SMDG0131105+030705,22.79375,3.11809,4.88,0.528,0.463,23.841,23.52,19.404,0.03072,0.03764,3
SMDG0124056+005904,21.02331,0.98433,8.51,0.476,0.685,23.736,23.261,18.514,0.02387,0.04729,3
SMDG0125397-010705,21.41549,-1.11811,5.77,0.804,0.983,23.323,22.298,18.854,0.01592,0.03338,3
SMDG0029273-002605,7.36357,-0.43475,7.37,0.365,0.641,23.268,22.72,18.581,0.01886,0.06355,3
SMDG0050264+004927,12.61007,0.82415,5.22,0.636,0.785,23.402,22.768,19.082,0.02121,0.02163,3
SMDG0041410-013218,10.42097,-1.53835,8.77,0.659,1.319,22.853,22.18,18.277,0.02839,0.0384,3
SMDG0123052-004156,20.77153,-0.69883,5.99,0.807,1.031,23.213,22.56,18.74,0.02701,0.05645,3
SMDG0042324-014914,10.63503,-1.82065,18.9,0.829,1.498,23.73,22.673,17.563,0.02676,0.01652,3
SMDG0045596-014225,11.49842,-1.70694,5.5,0.624,1.094,23.784,22.725,19.884,0.02203,0.03198,3
SMDG0128234+011817,22.09734,1.30476,12.03,0.421,1.226,23.954,23.149,19.013,0.01841,0.03698,3
SMDG0115478-004635,18.94911,-0.77651,9.09,0.372,0.975,23.234,22.455,18.602,0.02394,0.02353,3
SMDG0133589+021354,23.49534,2.23176,5.13,0.375,0.795,23.603,22.864,19.91,0.02005,0.04054,3
SMDG0126291+022106,21.62141,2.35178,6.63,0.796,0.859,23.732,23.039,18.767,0.02537,0.04356,3
SMDG0108129+024020,17.05384,2.67227,6.29,0.662,1.026,23.116,22.347,18.744,0.02448,0.04768,3
SMDG0129308-020058,22.37836,-2.01616,6.3,0.883,1.059,23.254,22.112,18.622,0.01953,0.04026,3
SMDG0041563-022834,10.48443,-2.47611,5.31,0.916,0.86,23.217,22.586,18.584,0.0164,0.03251,3
SMDG0027317-014005,6.88212,-1.66818,9.17,0.946,1.211,23.241,22.484,17.984,0.01463,0.03389,3
SMDG0106275+010600,16.6147,1.09982,158.6,0.542,4.012,21.516,20.663,16.142,0.02123,0.03587,3
SMDG0131226-004844,22.8443,-0.81222,6.0,0.787,1.104,23.871,22.83,19.547,0.01317,0.02539,3
SMDG0116270+020607,19.11242,2.10182,7.86,0.663,0.92,23.219,22.445,18.183,0.03297,0.07145,3
SMDG0043049-024156,10.77058,-2.69887,5.9,0.819,0.705,23.906,23.05,18.921,0.01962,-0.00661,3
SMDG0028058-012238,7.02436,-1.37717,8.69,0.433,0.866,23.288,22.531,18.408,0.01603,0.04173,3
SMDG0111054+005903,17.7725,0.98428,5.39,0.76,0.78,23.552,22.858,18.961,0.02792,0.04491,3
